LAST STARDUST	Aimer	/mnt/d/yu28s/Music/music_centor/Aimer/BEST SELECTION _noir_/1-06 LAST STARDUST.mp4	318
残響散歌	Aimer	/mnt/d/yu28s/Music/music_centor/Aimer/残響散歌/01-残響散歌.mp4	185
DEAD OR ALIVE	angela	/mnt/d/yu28s/Music/music_centor/angela/DEAD OR ALIVE(アニメ盤)/1-01 DEAD OR ALIVE.mp4	284
その時、蒼穹へ	angela	/mnt/d/yu28s/Music/music_centor/angela/ONE WAY/1-10 その時、蒼穹へ.mp4	300
進化論	ASCA	/mnt/d/yu28s/Music/music_centor/ASCA/百希夜行/01-進化論.mp4	237
祈リ・願イ・希望 ～Grand Version～	Ayumi	/mnt/d/yu28s/Music/music_centor/Compilations/シルヴァリオ トリニティ オリジナルサウンドトラック「航界記」 [Disc 2]/2-15 祈リ・願イ・希望 ～Grand Version～.mp3	306
stereo future	BiSH	/mnt/d/yu28s/Music/music_centor/BiSH/stereo future/01-stereo future.mp4	273
Good Morning World!	BURNOUT SYNDROMES	/mnt/d/yu28s/Music/music_centor/BURNOUT SYNDROMES/Good Morning World!/01-Good Morning World!.mp4	249
Be Somewhere	Buzy	/mnt/d/yu28s/Music/music_centor/Buzy/Be Somewhere/1-01 Be Somewhere.mp4	299
明日の君さえいればいい。	ChouCho	/mnt/d/yu28s/Music/music_centor/ChouCho/明日の君さえいればいい。/1-01 明日の君さえいればいい。.mp4	303
ALIVE	ClariS	/mnt/d/yu28s/Music/music_centor/ClariS/ALIVE/01-ALIVE.mp4	220
Umitsuki	ClariS	/mnt/d/yu28s/Music/ClariS/Umitsuki/01-Umitsuki.mp4	241
be confidence full ver.	Duca	/mnt/d/yu28s/Music/music_centor/Compilations/タラレバ　コンプリートサウンドトラック/01 be confidence full ver..mp3	263
Be Crazy For Me	EIKO starring 96猫	/mnt/d/yu28s/Music/music_centor/Various Artists/パリピ孔明 VOCAL COLLECTION MEGAMORI!!/01-Be Crazy For Me.mp4	290
きみがいた	eufonius	/mnt/d/yu28s/Music/music_centor/Compilations/ISLAND (オリジナルサウンドトラック)/41 きみがいた.m4a	314
廻廻奇譚	Eve	/mnt/d/yu28s/Music/music_centor/Eve/廻廻奇譚/1-01 廻廻奇譚.mp4	219
愛のシュプリーム！	fhana	/mnt/d/yu28s/Music/music_centor/fhana/愛のシュプリーム！【アニメ盤】/1-01 愛のシュプリーム！.mp4	284
青空のラプソディ	fhana	/mnt/d/yu28s/Music/music_centor/fhana/青空のラプソディ 【アニメ盤】/1-01 青空のラプソディ.mp4	278
Sign	FLOW	/mnt/d/yu28s/Music/music_centor/FLOW/Sign/01-Sign.mp4	238
Day After Day	FreQuency	/mnt/d/yu28s/Music/FreQuency/Day After Day - EP/01 Day After Day.m4a	276
black bullet	fripSide	/mnt/d/yu28s/Music/music_centor/fripSide/black bullet/01-black bullet.mp4	263
final phase	fripSide	/mnt/d/yu28s/Music/music_centor/fripSide/final phase/01-final phase.mp4	242
fortissimo-from insanity affection-	fripSide	/mnt/d/yu28s/Music/music_centor/fripSide/Decade/1-06 fortissimo-from insanity affect.mp4	301
only my railgun	fripSide	/mnt/d/yu28s/Music/music_centor/fripSide/only my railgun/01-only my railgun.mp4	257
sister's noise	fripSide	/mnt/d/yu28s/Music/music_centor/fripSide/sister's noise/01-sister's noise.mp4	262
少年	GRe4N BOYZ	/mnt/d/yu28s/Music/GRe4N BOYZ/少年/01-少年.flac	234
あれこれドラスティック( feat.鈴木愛奈)	halca	/mnt/d/yu28s/Music/music_centor/halca/あれこれドラスティック( feat.鈴木愛奈)/01-あれこれドラスティック( feat.鈴木愛奈).mp4	226
さくらいろ、舞うころに	I.O.	/mnt/d/yu28s/Music/music_centor/Compilations/Symphony Sounds Generation 2019/05 さくらいろ、舞うころに.m4a	221
Overlap	Kimeru	/mnt/d/yu28s/Music/music_centor/ヴァリアスアーティスト/遊☆戯☆王デュエルモンスターズ Duel Vocalbest!!/09-Overlap.mp4	262
AIZO	King Gnu	/mnt/d/yu28s/Music/King Gnu/AIZO/01-AIZO.mp4	216
Floating up	KOTOKO	/mnt/d/yu28s/Music/music_centor/Compilations/カルマルカサークル コンプリートオリジナルサウンドトラック/1-01 Floating up.mp3	287
Imaginary affair	KOTOKO	/mnt/d/yu28s/Music/music_centor/Various Artists/COLLECTIVE/1-11 Imaginary affair.mp4	289
恋ひ恋ふ縁	KOTOKO	/mnt/d/yu28s/Music/music_centor/Compilations/千恋_万花 オリジナル・サウンドトラック [Disc 3]/3-01 恋ひ恋ふ縁.mp3	238
find a piece	Larval Stage Planning	/mnt/d/yu28s/Music/music_centor/Compilations/カルマルカサークル コンプリートオリジナルサウンドトラック2/2-01 find a piece.mp3	246
灰と光の境界線	light	/mnt/d/yu28s/Music/music_centor/Compilations/シルヴァリオ トリニティ オリジナルサウンドトラック「航界記」 [Disc 2]/2-12 灰と光の境界線.mp3	367
心臓を捧げよ!	Linked Horizon	/mnt/d/yu28s/Music/music_centor/Linked Horizon/進撃の軌跡/1-11 心臓を捧げよ!.mp4	341
憧憬と屍の道	Linked Horizon	/mnt/d/yu28s/Music/music_centor/Linked Horizon/真実への進撃/1-01 憧憬と屍の道.mp4	276
紅蓮の弓矢	Linked Horizon	/mnt/d/yu28s/Music/music_centor/Linked Horizon/自由への進撃/1-01 紅蓮の弓矢.mp4	317
自由の翼	Linked Horizon	/mnt/d/yu28s/Music/music_centor/Linked Horizon/自由への進撃/1-02 自由の翼.mp4	328
Catch the Moment	LiSA	/mnt/d/yu28s/Music/music_centor/LiSA/Catch the Moment/1-01 Catch the Moment.mp4	283
Rising Hope	LiSA	/mnt/d/yu28s/Music/music_centor/LiSA/Rising Hope/1-01 Rising Hope.mp4	252
Shouted Serenade	LiSA	/mnt/d/yu28s/Music/music_centor/LiSA/Shouted Serenade/01-Shouted Serenade.flac	233
明け星	LiSA	/mnt/d/yu28s/Music/music_centor/LiSA/明け星/01-明け星.mp4	269
fantastic dreamer	Machico	/mnt/d/yu28s/Music/music_centor/Machico/TVアニメ『この素晴らしい世界に祝福を!』オープニング・テーマ 「fantastic dreamer」/01-fantastic dreamer.mp4	244
Growing Up	Machico	/mnt/d/yu28s/Music/music_centor/Machico/TVアニメ『この素晴らしい世界に祝福を！3』オープニング・テーマ「Growing Up」/01-Growing Up.mp4	230
TOMORROW	Machico	/mnt/d/yu28s/Music/music_centor/Machico/TVアニメ『この素晴らしい世界に祝福を! 2』オープニング・テーマ 「TOMORROW」/01-TOMORROW.mp4	276
絆ノ奇跡	MAN WITH A MISSION & milet	/mnt/d/yu28s/Music/music_centor/MAN WITH A MISSION & milet/絆ノ奇跡/01-絆ノ奇跡.mp4	223
キミ∽ツナグ	marina	/mnt/d/yu28s/Music/music_centor/marina/ゲーム『少女神域∽少女天獄- The Garden of Fifth Zoa -/1-01 キミ∽ツナグ.mp4	277
永久より永遠に	marina	/mnt/d/yu28s/Music/music_centor/marina/ゲーム『少女神域∽少女天獄- The Garden of Fifth Zoa -/1-02 永久より永遠に.mp4	329
Faith	May J．	/mnt/d/yu28s/Music/music_centor/May J．/ReBirth/1-03 Faith.mp4	281
graphite/diamond	May'n	/mnt/d/yu28s/Music/music_centor/May'n/graphite_diamond/1-01 graphite_diamond.mp4	255
Running In My Head	MIYAVI	/mnt/d/yu28s/Music/music_centor/MIYAVI/Running In My Head/01-Running In My Head.mp4	240
夢幻	MY FIRST STORY & HYDE	/mnt/d/yu28s/Music/music_centor/MY FIRST STORY & HYDE/夢幻/01-夢幻.mp4	241
VORACITY	MYTH & ROID	/mnt/d/yu28s/Music/music_centor/MYTH & ROID/TVアニメ「オーバーロードIII」オープニングテーマ「VORACITY」/1-01 VORACITY.mp4	232
sail to a new world	NANA	/mnt/d/yu28s/Music/music_centor/アリスソフト/アリスサウンドアルバム vol．27 イブニクル/1-48 sail to a new world.mp4	290
イエスタデイ	Official髭男dism	/mnt/d/yu28s/Music/music_centor/Official髭男dism/Traveler/01-イエスタデイ.mp4	299
ミックスナッツ	Official髭男dism	/mnt/d/yu28s/Music/music_centor/Official髭男dism/ミックスナッツ/01-ミックスナッツ.mp4	214
God only knows -Secrets of the Goddess-	Oratorio The World God Only Knows	/mnt/d/yu28s/Music/Oratorio The World God Only Knows/God only knows -Secrets of the Goddess-/01 God only knows -Secrets of the Go.mp3	772
GO CRY GO	OxT	/mnt/d/yu28s/Music/music_centor/OxT/TVアニメ「オーバーロードII」オープニングテーマ「GO CRY GO」/1-01 GO CRY GO.mp4	221
HOLLOW HUNGER	OxT	/mnt/d/yu28s/Music/music_centor/OxT/TVアニメ「オーバーロードIV」オープニングテーマ「HOLLOW HUNGER」/01-HOLLOW HUNGER.mp4	223
Laughter Slaughter	OxT	/mnt/d/yu28s/Music/music_centor/OxT/TVアニメ「ハンドシェイカー」オープニングテーマ「One Hand Messag/1-02 Laughter Slaughter.mp4	203
One Hand Message	OxT	/mnt/d/yu28s/Music/music_centor/OxT/TVアニメ「ハンドシェイカー」オープニングテーマ「One Hand Messag/1-01 One Hand Message.mp4	209
UNION	OxT	/mnt/d/yu28s/Music/OxT/SSSS.GRIDMANオープニング主題歌「UNION」/01-UNION.mp4	226
決闘	PENGUIN RESEARCH	/mnt/d/yu28s/Music/music_centor/PENGUIN RESEARCH/決闘/1-01 決闘.mp4	274
Daydream café	Petit Rabbit's	/mnt/d/yu28s/Music/music_centor/Petit Rabbit's/Daydream café/1-01 Daydream café.mp4	229
ノーポイッ!	Petit Rabbit's	/mnt/d/yu28s/Music/music_centor/V.A_/「ご注文はうさぎですか？？」キャラクターソング・セレクションアルバム_order/1-01 ノーポイッ!.mp4	244
ふたりで	Riryka	/mnt/d/yu28s/Music/music_centor/Compilations/千恋_万花 オリジナル・サウンドトラック [Disc 3]/3-03 ふたりで.mp3	289
roop ～遠い世界のキミに贈るたったひとつの恋の歌～	Rita	/mnt/d/yu28s/Music/music_centor/Compilations/あきゆめくくる　Original Soundtrack/01 roop ～遠い世界のキミに贈るたったひとつの恋の歌～.m4a	248
Vector	Rita	/mnt/d/yu28s/Music/music_centor/Compilations/あきゆめくくる　Original Soundtrack/23 Vector.m4a	233
千夜一夜VORTEX	sana (sajou no hana)	/mnt/d/yu28s/Music/music_centor/VISUAL ARTS_Key & sana (sajou no hana)/キネティックノベル「LOOPERS」Original Soundtrack/01 千夜一夜VORTEX.m4a	255
君との宝探し	sana (sajou no hana)	/mnt/d/yu28s/Music/music_centor/VISUAL ARTS_Key & sana (sajou no hana)/キネティックノベル「LOOPERS」Original Soundtrack/26 君との宝探し.m4a	317
イチジツセンカ	sana sajou no hana & VISUAL ARTS / Key	/mnt/d/yu28s/Music/VISUAL ARTS _ Key/LOOPERS Original Soundtrack PLUS/19-イチジツセンカ.mp4	262
brand new day (feat. Ceui)	solfa	/mnt/d/yu28s/Music/music_centor/solfa/chronicle ~dog side~/1-01 brand new day (feat. Ceui).mp4	228
Bum-out! (feat. KOTOKO)	solfa	/mnt/d/yu28s/Music/music_centor/solfa/chronicle ~the sun~/1-01 Bum-out! (feat. KOTOKO).mp4	258
ミスターフィクサー	Sou	/mnt/d/yu28s/Music/music_centor/Sou/ミスターフィクサー/1-01 ミスターフィクサー.mp4	220
CutOutLovers	ricono	/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/00-03-CutOutLovers.flac	279
I Wanna Be	hana	/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/00-06-I Wanna Be.flac	306
ピリオド	れにゃた	/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/00-07-ピリオド.flac	283
ラストレター	妃苺	/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/00-08-ラストレター.flac	189
人生脚本	sola	/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/00-04-人生脚本.flac	297
君の秘密を教えて	八花	/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/00-02-君の秘密を教えて.flac	202
青色の街で	朝木ゆう	/mnt/d/yu28s/Music/LastLetter (LastLetter（DL版）)/00-05-青色の街で.flac	252
君の知らない物語	supercell	/mnt/d/yu28s/Music/music_centor/supercell/君の知らない物語/01-君の知らない物語.mp4	341
SWORD SUMMIT	T.M.Revolution	/mnt/d/yu28s/Music/music_centor/T.M.Revolution/Naked arms _ SWORD SUMMIT/1-02 SWORD SUMMIT.mp4	236
Ash Like Snow	the brilliant green	/mnt/d/yu28s/Music/music_centor/the brilliant green/Ash Like Snow/1-01 Ash Like Snow.mp4	272
キミのとなり	tohko	/mnt/d/yu28s/Music/music_centor/Compilations/千恋_万花 オリジナル・サウンドトラック [Disc 3]/3-07 キミのとなり.mp3	331
Free Turn	TrySail	/mnt/d/yu28s/Music/TrySail/Free Turn/01-Free Turn.mp4	260
Phantom Joke	UNISON SQUARE GARDEN	/mnt/d/yu28s/Music/music_centor/UNISON SQUARE GARDEN/Phantom Joke/1-01 Phantom Joke.mp4	244
輪廻	V.W.P	/mnt/d/yu28s/Music/music_centor/V.W.P/輪廻/01-輪廻.mp4	244
Soundtracks Special Medley [Live]	Various Artists	/mnt/d/yu28s/Music/music_centor/Compilations/Vivy -Fluorite Eye's Song- Live Event ～S/2-03 Soundtracks Special Medley [Liv.m4a	633
うまぴょい伝説	Various Artists	/mnt/d/yu28s/Music/music_centor/Various Artists/『ウマ娘 プリティーダービー』WINNING LIVE 01/05-うまぴょい伝説.mp4	270
I wish	WHITE-LIPS	/mnt/d/yu28s/Music/music_centor/Compilations/カルマルカサークル コンプリートオリジナルサウンドトラック2/2-12 I wish.mp3	346
slash	yama	/mnt/d/yu28s/Music/music_centor/yama/slash/01-slash.mp4	240
UNDEAD	YOASOBI	/mnt/d/yu28s/Music/music_centor/YOASOBI/UNDEAD/01-UNDEAD.mp4	183
勇者	YOASOBI	/mnt/d/yu28s/Music/music_centor/YOASOBI/THE BOOK 3/01-勇者.mp4	194
祝福	YOASOBI	/mnt/d/yu28s/Music/music_centor/YOASOBI/祝福/01-祝福.flac	196
ダ・カーポIII～キミにささげる　あいのマホウ～	yozuca*	/mnt/d/yu28s/Music/music_centor/Compilations/EGG-Extra Games Garden- anthology 2015/02 ダ・カーポIII～キミにささげる　あいのマホウ～.mp3	303
Dance In The Game	ZAQ	/mnt/d/yu28s/Music/music_centor/ZAQ/Dance In The Game/01-Dance In The Game.mp4	209
あした世界が終わるとしても	あいみょん	/mnt/d/yu28s/Music/music_centor/あいみょん/瞬間的シックスセンス/1-10 あした世界が終わるとしても.mp4	263
アマデウス	いとうかなこ	/mnt/d/yu28s/Music/いとうかなこ/アマデウス(ゲーム「STEINS_GATE 0」OPテーマ)/01-アマデウス.mp4	238
花の塔	さユり	/mnt/d/yu28s/Music/music_centor/さユり/花の塔/01-花の塔.mp4	276
DeaR YoU	せいんと☆ぴーち	/mnt/d/yu28s/Music/music_centor/Compilations/Re_LieF ～DeaR YoU～ OriginaL SounD TracK/2-18 DeaR YoU.m4a	281
足りないハートビート	みなみまい from i.o.sound	/mnt/d/yu28s/Music/Downloads/4198300_0_1.flac	232
クライングハート(アイリス・ディセンバ―・アンクライ、ノエル・ザ・ネクストシーズン)	アイリス・ディセンバ―・アンクライ、ノエル・ザ・ネクストシーズン	/mnt/d/yu28s/Music/アイリス・ディセンバ―・アンクライ、ノエル・ザ・ネクストシーズン/ノラと皇女と野良猫ハート　2　特典ディスク/2-01 クライングハート(デアイリス・ディセンバ―・アンクライ、ノエル.mp3	255
双炎の肖像	イサミ・アオ(CV：鈴木崚汰)、ルイス・スミス(CV：阿座上洋平)	/mnt/d/yu28s/Music/music_centor/ブレイバーン(CV.鈴村健一)_イサミ・アオ(CV.鈴木崚汰)_ルイス・スミス(CV.阿座上洋平)/TVアニメ「勇気爆発バーンブレイバーン」 ババーンと推参！バーンブレイバーン_双炎の肖像/02-双炎の肖像.mp4	274
uni-verse	オーイシマサヨシ	/mnt/d/yu28s/Music/music_centor/オーイシマサヨシ/ギフト/02-uni-verse.mp4	272
インパーフェクト	オーイシマサヨシ	/mnt/d/yu28s/Music/music_centor/オーイシマサヨシ/インパーフェクト/1-01 インパーフェクト.mp4	228
GIFT	カサンドラ	/mnt/d/yu28s/Music/music_centor/Compilations/千恋_万花 オリジナル・サウンドトラック [Disc 3]/3-05 GIFT.mp3	464
超!最強!ウォーリアーズ	サイキックラバー	/mnt/d/yu28s/Music/music_centor/サイキックラバー/TVアニメ爆丸バトルブローラーズ ニューヴェストロイアオープニングテーマ「超!最/1-01 超!最強!ウォーリアーズ.mp4	238
声なき魚 (新川崎(仮))	トゲナシトゲアリ	/mnt/d/yu28s/Music/music_centor/トゲナシトゲアリ/棘ナシ/04-声なき魚 (新川崎(仮)).mp4	181
空の箱 (井芹仁菜、河原木桃香)	トゲナシトゲアリ	/mnt/d/yu28s/Music/music_centor/トゲナシトゲアリ/棘ナシ/03-空の箱 (井芹仁菜、河原木桃香).mp4	184
空白とカタルシス	トゲナシトゲアリ	/mnt/d/yu28s/Music/music_centor/トゲナシトゲアリ/棘ナシ/07-空白とカタルシス.mp4	190
運命の華	トゲナシトゲアリ	/mnt/d/yu28s/Music/music_centor/トゲナシトゲアリ/棘ナシ/08-運命の華.mp4	196
SAVIOR OF SONG(feat.MY FIRST STORY)	ナノ	/mnt/d/yu28s/Music/music_centor/ナノ/TVアニメーション「蒼き鋼のアルペジオ -アルス・ノヴァ-」OPテーマ SAVI/1-01 SAVIOR OF SONG(feat.MY FIRST ST.mp4	247
KEMURIKUSA	ナノ	/mnt/d/yu28s/Music/music_centor/ナノ_/KEMURIKUSA_/1-01 KEMURIKUSA_.mp4	248
野良猫ハート パトリシア・オプ・エンドVer.	パトリシア・オブ・エンド(CV:小鳥居夕花)	/mnt/d/yu28s/Music/music_centor/Compilations/ノラと皇女と野良猫ハート Original Sound Track _Open/3-06 野良猫ハート パトリシア・オプ・エンドVer..mp3	258
